Seq,텍스트,이미지
10029,"거실은 확장형으로 나온 타입이여서 이미 넓은 공간이 확보되어 있었어요 ! 갤러리 느낌을 원하시는 고객님의 니즈에 따라 곳곳에 감각적인 DP를 해드렸어요 ~ 조명도 직부등 없이 우물천장 간접등, 매입등만으로 배치하여 심플한 천정을 조성했어요 ! 바닥은 밝은 오크 컬러의 강마루를 시공하여 웜톤의 벽지와 TV벽면에는 포인트로 월플러스 사하라 시리즈를 시공하였답니다 !",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668585846309_0.jpg
10029,"욕실은 고객의 니즈를 반영해 수납을 1순위로 두고 설계하였습니다 ! 하부장과 플랩상부장, 코너선반을 시공해 넉넉한 수납공간을 확보했습니다. 벽, 바닥 동일한 600각 타일을 시공하여 모던하고 심플한 분위기를 연출하였습니다. ※ 욕실 바닥에 600각 타일 시공 시 , 구베(물길)를 잘 잡을 수 있는지 우선 체크하는 것이 최우선입니다 !",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/16/1668586709028_0.jpg
10029,"도어와 같은 우드 필름으로 침대헤드를 시공하였으며, 침대헤드 뒤로 루바 포인트를 주어 호텔같은 분위기를 연출하였습니다 ! 드레스룸으로 들어가는 도어는 아치형 오픈도어로 바꿔 개방감을 주었습니다 ! ※ 아치형 오픈도어 시공 시, 수직에서 라운드가 이어지는 부분을 자연스럽게 이어주는 것이 중요합니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/17/1668667042718_0.jpg
10029,"2개의 방은 각각 대학생, 고등학생인 자녀에 맞게 실용적으로 설계해드렸습니다 !",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/17/1668667265691_0.jpg
10030,1. 주방은  간접등을 설치해드리고 식탁이 있는 곳은 다운라이트를 통해서 조도를 맞추도록 하였습니다. 2. 거실이면서도 주방이 같이 있는 공간입니다. 그만큼 많은 시간이 지나고 쌓일 수 있는 공간이 되도록 하였습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668133973625_0.jpg
10030,1.거실과 안방은 통일된 디자인으로 진행하였습니다.벽과 바닥은 테라조 타일로 진행하도록 하였습니다. 2.포인트 타일을 조금 다르게 하였는데요 거실욕실은 상부는 화이트라인의 타일로 아래하부는 테라조 타일로 진행하였습니다. 공간이 답답하지 않고 탁트이는 느낌을 받을 수 있습니다.!!,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668134852475_0.jpg
10030,이번 ' 인천 청라 호반베르디움 2차' 포스팅을 읽어주셔서 감사합니다. 다음 인테리어도 궁금하시죠? 곧 찾아뵙겠습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668137110761_0.jpg
10042,"강동구 암사동 선사현대아파트 30평형 아파트입니다. 방3개, 욕실1개의 구조예요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668141310627_0.webp
10042,"주방은 넓지 않지만, 테이블을 조리대로 사용하실 수 있도록 배치하였어요. 거실의 테이블과 대면형 구조로 요리를 하시면서도 아이의 목소리를 잘 들을 수 있을거에요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668141613514_0.webp
10042,아이가 방을 가지게 되면서 자립심을 기르게 되지요. 아이와 함께 침구를 선택한다면 아이는 금방 자신의 방에 애착이 생길 거예요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668141730698_0.webp
10043,요즘 같은 시기엔 많은 시간을 집에서 보낼텐데요. 아이가 집에서도 답답함 없이 신나게 뛰어놀 수 있도록 거실에 넓은 놀이터를 만들었습니다! 밖에 나가 놀 수 없는 날에도 폴딩도어를 활짝 열어두고 미끄럼틀을 타고 장난감 자동차를 끌면서 신나게 놀 수 있어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668142814784_0.webp
10043,아이가 신나게 놀고 난 뒤 어지럽혀진 장난감을 쉽게 정리하려면 어떻게 해야 할까요? 낮은 벤치장과 결합된 거실 빌트인장을 설치해보세요! 어린아이도 쉽게 여닫을 수 있어서 스스로 정리하는 습관을 길러줄 거예요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668142986537_0.jpg
10043,거실과 연결된 이곳은 은은한 분위기가 멋스러운 주방입니다! 가족의 맛있는 식사를 책임질 중요한 공간이지요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668143107210_0.webp
10043,먼저 다이닝 공간부터 보여드릴게요! 가족이 편안하게 둘러앉을 수 있는 라운드 식탁을 배치하고 식탁 위로 세련된 펜턴트 조명을 설치해 트렌디한 식사 공간이 완성되었어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668143184421_0.webp
10043,"유치원생 아이에게 딱 맞는 자녀 방 인테리어도 소개해드릴게요. 거실이 신나게 뛰어노는 공간이었다면, 이곳은 아이 혼자서 상상하고 아늑함을 느낄 수 있는 공간이 되어 줄 거예요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668143353034_0.webp
10043,"멀티룸이 마음을 위한 휴식 공간이었다면, 침실은 지친 몸을 릴렉스하게 해줄 휴식 공간! 편안한 침대에 누워 좋아하는 드라마를 보거나 음악을 들으며 잠들어보세요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668143633346_0.webp
10043,차분하고 은은한 분위기를 만드는 그레이톤 빌트인과 벽지가 고급스러운 호텔 같지 않나요? 화장실로 이어지는 공간에는 빌트인 파우더룸을 설치해 개인적인 에스테 공간을 마련했어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668143702172_0.webp
10045,송파구 레이크팰리스 26평형 아파트입니다. 집 중앙에 거실과 부엌이 위치하고 있어 가족들이 함께 모이기 쉬운 아늑한 구조입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668145081460_0.webp
10045,깔끔한 화이트 폴딩도어가 내추럴한 스타일의 집과도 잘 어울리죠. 거실과 동일한 바닥재를 시공하면 마치 거실이 확장된 것 같은 효과를 기대할 수 있습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668145228343_0.webp
10045,# 주말마다 열리는 아빠의 쿠킹 클래스 - 세련된 석재 패턴,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668145431755_0.webp
10045,# 은은한 음악을 즐기는 힐링 공간 - 카페 부럽지 않은 서재,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146217531_0.webp
10045,"서재가 있으면 집안의 멀티공간으로 활용하기 좋죠. 연애할 때부터 음악 감상을 함께 해온 부부를 위해 특별히 구성한 공간인데요. 지금까지 모아온 CD나 책, 작은 소품들을 보기 좋게 진열할 수 있는 알레 벽 선반과 좁은 공간에서도 효율적으로 배치할 수 있는 h형 책상 조합을 추천해 드립니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146293467_0.webp
10045,생기와 즐거움이 느껴지는 아이의 방입니다. 부드러운 나뭇결의 옷장 세트와 모난 곳 없이 둥글고 푹신한 느낌의 가구를 배치해 편안한 느낌의 공간을 만들었어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146680781_0.webp
10045,# 편안하게 잠드는 부부의 침실 - 군더더기 없는 완벽한 조화 -,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146720240_0.webp
10045,침실의 가장 중요한 기능은 편안한 숙면이죠. 어두운 베이지와 그린의 조화로 차분한 분위기의 침실을 연출했습니다. 잡다한 물건이나 가구들을 제외하고 꼭 필요한 침대와 빌트인 TV장만 배치하여 군더더기 없는 휴식 공간이 되었습니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146792603_0.webp
10045,침대에 누웠을 때 바라보게 될 빌트인 TV장은 마치 아트월처럼 깔끔하고 고급스럽죠.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146820563_0.webp
10045,"귀여운 장식장과 화초가 산뜻하게 반겨주는 현관입니다. 이곳은 통로로서 비워진 경우가 많은데, 이렇게 작은 소품을 놓는 것으로 한층 감각적인 집으로 꾸밀 수 있습니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668146944366_0.webp
10046,"송파구 가락동 쌍용아파트 33평형 아파트입니다. 방3개, 욕실2개가 있는 집이에요. 거실과 침실에는 발코니가 연결되어있습니다. 주방은 콤팩트 하지만, 발코니와 연결되어 공간을 활용하실 수 있는 구조예요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668147892586_0.webp
10046,고급스러운 석재 패턴의 아트월과 세련된 컬러의 벽지로 아내분의 취향에 맞춰 꾸민 거실이에요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668149147940_0.webp
10046,이곳은 튼튼이가 신나게 놀고 잠을 자는 공간이에요^^! 몸도 마음도 튼튼하게 자랐으면 하는 마음으로 태명을 튼튼이로 지으셨다고 해요. 아이 감성에 어울리는 파스텔 톤의 벽지로 사랑스럽게 만들었어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668149269023_0.jpg
10046,화이트 헤링본 마루와 너무나도 잘 어울리는 럭셔리한 침실이에요. 몰딩이 들어간 가구와 도어를 사용해 클래식 화이트 인테리어의 정석을 보여주었고 프렌치 화이트 콘솔을 활용하여 좋아하시는 책을 읽으실 수 있는 공간을 마련하였어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668149633096_0.webp
10052,방 3개 욕실 2개로 구성된 32평형 아파트입니다. 거실과 부엌이 분리된 구조입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668157218293_0.webp
10052,깔끔하고 쾌적한 거실을 원했던 니즈를 담아 선반 및 서랍장으로 된 TV장으로 보기 싫은 물건을 숨길 수 있게 했어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668157520686_0.webp
10052,깔끔한 라인의 #바흐 702 인피니 소파 매트 질감의 #밀란 303 커린 캐시미어 거실장,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668157753964_0.webp
10052,20대 후반인 부부는 주말에 서재에서 함께 시간 보내는 걸 좋아해요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668158036594_0.webp
10052,먼지 쌓일 걱정 없이 옷을 수납할 수 있는 드레스룸입니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668158163837_0.webp
10052,빌트인 조명과 협탁이 있는 아트월베드는 군더더기 없는 가구 배치를 원하시는 고객에게 안성맞춤이예요. 깔끔깔끔한 이 부부에게 딱! 맞는 베드여서 추천드렸어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668158297139_0.webp
10052,침실 옆에 위치한 부부욕실이예요. 노출콘크리트 패턴의 블랙 아트월과 핸드리스 타입 블랙 글래스 상부장이 도시적인 감성을 느끼게 해줍니다. 욕실이 이렇게 고급스럽고 시크해도 되나요?,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668158394320_0.webp
10053,"종로구 무악동 33평형 무악현대아파트입니다. 3개의 방과 2개의 욕실 구성이며 발코니와 거실, 독립된 주방이 있습니다. 방 평수에 비해 거실이 넓게 확 트인 것이 특징입니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159043297_0.webp
10053,"자칫 차가워 보일 수 있는 거실인데 고급 가죽 소파와 월넛 무늬의 거실장을 사용하여 따뜻함이 느껴집니다. 부부도, 고등학생인 아이들도 편안하게 누리는 가족 공간이 되었어요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159303981_0.webp
10053,부부가 아늑하게 쉴 수 있는 부부 침대는 가죽 프레임을 두어 중후한 매력을 자아냅니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159437618_0.webp
10053,훌쩍 커버린 딸에게는 조금 작을 수도 있는 방이에요. 그런 단점을 보완하여 큰 거울이 있는 수납장을 설치하여 공간을 보다 넓어 보이도록 만들어 답답하지 않아요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668160411344_0.webp
10053,활용성 좋은 이 수납장은 한창 꾸미기 좋아할 딸에게 옷장이 되어주고 화장대가 되어 줍니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159714419_0.webp
10053,활동성이 좋은 고등학생 남자아이에게 큰 창에서 불어오는 바람은 시원하고 좋은 공간이 됩니다.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159838087_0.webp
10053,"남자아이라고 지저분할 것 같다는 편견이 무색할 만큼 화이트와 아이보리톤의 침대와 책상, 수납장을 두어 깔끔하고 깨끗한 방으로 만들었어요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668159890429_0.webp
10054,"용산 신당동 남산타운 31A평형 아파트입니다. 욕실이 딸려있어 편리한 큰 방과 자유롭게 꾸밀 수 있는 작은 방2개, 공용욕실로 이루어진 구조입니다.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668160906077_0.webp
10054,거실은 가족이 모여 앉아 자연스럽게 담소를 나누도록 널찍한 소파와 아이를 위한 벤치장을 마주보게 배치하였어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668161059922_0.webp
10054,"벤치장에 아이와 나란히 앉아 오늘의 학교 생활은 어땠는지, 어떤 친구와 제일 친한지 등등 자연스럽게 아이의 생활에 관심가져 보세요. 편안한 분위기 속에서 대화의 공간이 될 수 있도록 빌트인플러스 벤치장이 도와줄거에요.",https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668161100017_0.jpg
10054,주방은 어쩌면 가장 중요한 장소일 거에요. 각자의 일로 바쁘던 세 식구가 빙 둘러 앉아서 매일 함께 시간을 보내는 곳이니까요. 밝은 화이트톤으로 그 소중한 시간이 더욱 빛이 날 수 있도록 연출했어요.,https://image.hanssem.com/hsimg/upload/homeIdea/2022/11/11/1668161219557_0.jpg
